Barbershop Name,Website,Address,Phone,Instagram Link,Instagram Followers,Google Rating,Google Reviews,Estimated Barbers,Instagram Score,Review Score,Rating Score,Barber Score,Social Score,Lead Score,Lead Rank,Lead Tier
Boston Barber & Tattoo Co.,http://www.bostonbarber.com/,"113 Salem St, Boston, MA 02113",(617) 742-0611,https://www.instagram.com/bostonbarbertattooco/,26000,4.5,494,7,30,25,12,15,10,92,1,Tier 1
Barber's Den,https://barbersden.com/,"191 Washington St, Somerville, MA 02143",(617) 606-7572,https://www.instagram.com/barbersden/,11000,4.8,222,5,30,20,15,15,10,90,2,Tier 1
Bostonian Barber Shop,http://www.bostonianbarbershop.com/,"92 Van Ness St, Boston, MA 02215",(857) 317-2894,https://www.instagram.com/bostonianbarbershop/,21000,4.6,297,6,30,20,15,15,10,90,3,Tier 1
Title City Barbers,http://www.titlecitybarbers.com/,"1310 Commonwealth Ave, Allston, MA 02134",(617) 505-6493,https://www.instagram.com/titlecitybarbers/,12000,4.9,284,7,30,20,15,15,10,90,4,Tier 1
Marvelous Barber Lounge,http://marvelouscuts.com/boston,"82 Broad St, Boston, MA 02110",(857) 449-0072,https://www.instagram.com/marvelouscuts/,8386,4.8,374,6,20,25,15,15,10,85,5,Tier 1
Mr. A Barbershop,http://www.mrabarbershop.com/,"400 Dorchester St, South Boston, MA 02127",(617) 449-9825,https://www.instagram.com/mr.a.barbershop/,5061,4.9,366,6,20,25,15,15,10,85,6,Tier 1
Supercuts,https://www.supercuts.com/locations/nearme/haircut/ma/boston/250-cambridge-st/81018,"250 Cambridge St, Boston, MA 02114",(617) 644-0467,https://www.instagram.com/biancablends/,1275,4.4,553,10,10,25,12,20,10,77,7,Tier 2
Boston Blendz Barbershop,https://www.bostonblendz.com/,"8 Hyde Park Ave, Jamaica Plain, MA 02130",(617) 390-5511,https://www.instagram.com/bambam1109/,16000,4.8,136,4,30,10,15,10,10,75,8,Tier 2
Z Barbershop,http://www.zbarbershop.com/,"536 Columbus Ave, Boston, MA 02118",(774) 777-8777,https://www.instagram.com/zbarbershopboston/,973,4.8,551,9,5,25,15,20,10,75,9,Tier 2
Temple of Groom Barber Lounge,http://www.templeofgroombarbershop.com/,,(617) 945-1621,https://www.instagram.com/templeofgroom/,1938,4.6,390,6,10,25,15,15,10,75,10,Tier 2
Atlas Barber Shop,http://atlasbarbershop.net/,"1663 Beacon St, Brookline, MA 02445",(617) 803-5966,https://www.instagram.com/atlas_barbershop/,14000,4.8,61,4,30,10,15,10,10,75,11,Tier 2
Skips Barbershop,http://www.skipsbarbershop.com/,"603 Tremont St, Boston, MA 02118",(617) 982-7981,https://www.instagram.com/skipsbarbershop/,1408,4.9,415,5,10,25,15,15,10,75,12,Tier 2
Matt's Barber Shop,http://mattsbarbershop617.com/,"408 Market St, Boston, MA 02135",(617) 208-8218,https://www.instagram.com/mattsbarbershop617/,1615,4.8,254,6,10,20,15,15,10,70,13,Tier 2
Skip's Barbershop,http://skipsbarbershop.com/,"78 Dorchester St, South Boston, MA 02127",(617) 269-2227,https://www.instagram.com/skipsbarbershop/,1408,4.8,245,5,10,20,15,15,10,70,14,Tier 2
3L Barber Co.,https://3lbarberco.com/,"518 Tremont St, Boston, MA 02116",(857) 305-3106,https://www.instagram.com/3lbarbercompany/,1305,4.9,295,5,10,20,15,15,10,70,15,Tier 2
968 The Shop Barbers Somerville,http://www.968theshop.com/,"968 Broadway, Somerville, MA 02144",(617) 718-9680,https://www.instagram.com/968theshopbarbers/,1954,4.6,189,5,10,20,15,15,10,70,16,Tier 2
Charlie's Barber Shop,https://www.charliesbarbershopcambridge.com/,,(617) 876-1116,https://www.instagram.com/reel/C730INKAg-c/,0,4.9,812,9,0,25,15,20,10,70,17,Tier 2
District Barbers Boston,http://districtbarbersboston.com/,"190 High St, Boston, MA 02110",(857) 233-2427,https://www.instagram.com/districtbarbersboston/,1925,4.8,302,4,10,25,15,10,10,70,18,Tier 2
Barbershop Lounge,http://www.barbershoplounge.com/,"245 Newbury St, Boston, MA 02116",(617) 450-0021,https://www.instagram.com/barbershoploungeboston/,2056,4.8,478,4,10,25,15,10,10,70,19,Tier 2
Sim's Barber Lab,https://www.simsbarberlab.com/,"116 W Broadway, Boston, MA 02127",(617) 315-7735,https://www.instagram.com/simsbarberlab/,1087,4.9,218,6,10,20,15,15,10,70,20,Tier 2
Boston Barber Co. Beacon Hill,http://www.bostonbarber.com/,"124 Bowdoin St, Boston, MA 02108",(617) 263-0150,https://www.instagram.com/bostonbarbercobeaconhill/,2128,4.4,270,5,10,20,12,15,10,67,21,Tier 2
Tweed Barbers of Boston,https://www.tweedbarbers.com/,"1313 Washington St, Boston, MA 02118",(617) 370-5294,https://www.instagram.com/tweed_barbers/,743,4.5,488,7,5,25,12,15,10,67,22,Tier 2
Belsito Barber Shop,http://www.belsitobarbershop.com/,"696 Tremont St, Boston, MA 02118",(617) 982-6327,https://www.instagram.com/belsitobarbershop/,272,4.8,202,6,5,20,15,15,10,65,23,Tier 2
Atlas barbershop,http://www.atlasbarbershop.net/,"824 Huntington Ave, Boston, MA 02115",(617) 852-3789,https://www.instagram.com/atlas_barbershop/,14000,5.0,25,2,30,5,15,5,10,65,24,Tier 2
Sal's Barbershop,,"665 Centre St, Jamaica Plain, MA 02130",(617) 983-9854,https://www.instagram.com/john_debrigida/,834,4.8,460,5,5,25,15,15,5,65,25,Tier 2
Barbershop Deluxe,http://www.barbershopdeluxe.com/,"288 Columbus Ave, Boston, MA 02116",(617) 425-1928,https://www.instagram.com/barbershopdeluxeboston/,640,4.8,287,7,5,20,15,15,10,65,26,Tier 2
Cambridge barber shop,https://cambridgebarbershop.com/,,(617) 961-9782,https://www.instagram.com/reel/CjmYo8aDV1k/,0,4.9,467,5,0,25,15,15,10,65,27,Tier 2
Street Salon & Barber Shop,https://streetsalonboston.com/,"164 Newbury St, Boston, MA 02116",(857) 239-8384,https://www.instagram.com/streetsalonboston/,504,4.8,335,4,5,25,15,10,10,65,28,Tier 2
Cut N Edge,https://www.google.com/maps/reserve/appt/place/ChIJyQSEIBd644kRDJdGFPovARY/mid/%2Fg%2F1vxg059j?sourceurl=https://www.google.com/search?q%3Dmen's%2Bhaircut%2BBoston%26udm%3D1%26num%3D50%26start%3D0%26hl%3Den%26gl%3Dus&source=cat&sa=X&ved=2ahUKEwiP-eG7xpqTAxUrBrwBHSh_KTMQ3YkLegQIQxAN,"410 Massachusetts Ave, Boston, MA 02118",(617) 867-9200,https://www.instagram.com/cutnedgebarbershop/,116,4.4,247,7,5,20,12,15,10,62,29,Tier 2
University Barber Shop,http://www.universitybarbers.com/,"728 Commonwealth Ave A, Boston, MA 02215",(617) 247-2789,https://www.instagram.com/bubarbershop/,39,4.3,254,5,5,20,12,15,10,62,30,Tier 2
Brookline Barber Shop,https://www.brooklinebarbershop.com/,"316 Harvard St, Brookline, MA 02446",(617) 232-7170,https://www.instagram.com/reel/DVlkV3EDkws/,0,4.8,214,7,0,20,15,15,10,60,31,Tier 2
The Boston Barber Exchange,https://www.thebostonbarberexchange.com/,"112 Water St, Boston, MA 02109",(617) 936-4917,https://www.instagram.com/explore/locations/1509878569311705/the-boston-barber-exchange/,0,4.7,190,5,0,20,15,15,10,60,32,Tier 2
Top Notch Barbershop,http://barbers.topnotchvision.com/,"1855 Washington St, Boston, MA 02118",(617) 652-7424,https://www.instagram.com/reel/DN8usvnkQmQ/,0,4.6,162,5,0,20,15,15,10,60,33,Tier 2
Razors Barbershop,http://www.razorsbarbershop.com/,,(617) 999-3244,https://www.instagram.com/razorsbarbershop/,3378,4.8,161,2,10,20,15,5,10,60,34,Tier 2
Lisandro Barber Shop,http://lisandrosbarbershop.booksy.com/,"3209 Washington St, Jamaica Plain, MA 02130",(857) 260-8674,https://www.instagram.com/bryan.cuttzx/,2206,4.8,55,5,10,10,15,15,10,60,35,Tier 2
Society Barbershop,http://societybarbers.com/,"418 Tremont St, Boston, MA 02116",(617) 399-0006,https://www.instagram.com/society.barbershop/,534,4.7,181,3,5,20,15,10,10,60,36,Tier 2
Nick’s Barbershop,https://www.nicksbarbershopma.com/,"Cambridge, MA",(617) 492-2962,https://www.instagram.com/nicksbarbershopma/,221,5.0,226,4,5,20,15,10,10,60,37,Tier 2
The Luxury Box,https://linktr.ee/luxuryboxbarbershop?utm_source=linktree_admin_share,"649 E Broadway, Boston, MA 02127",(617) 752-4729,https://www.instagram.com/luxuryboxbarbershop/,141,4.6,159,3,5,20,15,10,10,60,38,Tier 2
In The Cut Boston Barbershop,https://inthecutboston.com/,"1437 Tremont St, Boston, MA 02120",(617) 302-6017,https://www.instagram.com/inthecutboston/,1347,4.4,152,2,10,20,12,5,10,57,39,Tier 2
Alex Barbershop,https://www.instagram.com/alex_barbershop214/?igsh=MTFqeGJsd3FmdzJjcg==&utm_source=qr,"214 Bowdoin St, Dorchester, MA 02122",(617) 359-7474,https://www.instagram.com/alex_barbershop214/,560,5.0,71,5,5,10,15,15,10,55,40,Tier 2
Lessard's Barber Shop,,"545 Washington St, Boston, MA 02135",(617) 789-4199,https://www.instagram.com/explore/locations/1033615193/lessards-barber-shop/,0,4.7,212,7,0,20,15,15,5,55,41,Tier 2
Boston's Best Barber,https://www.bostonsbestbarber.com/,"Sola Salon Studios, 3 Center Plz suite 15, Boston, MA 02108",(617) 816-8548,https://www.instagram.com/rscimeca/,3537,5.0,76,4,10,10,15,10,10,55,42,Tier 2
Armani barber shop,http://armanibarbershop.com/,"399 Dorchester St, South Boston, MA 02127",(617) 269-0607,,0,4.8,430,6,0,25,15,15,0,55,43,Tier 2
Straight Edge Barbershop,http://straight-edge.edan.io/,"216 Somerville Ave #3405, Somerville, MA 02143",(617) 718-2422,https://www.instagram.com/str8edgebarbershopsomervillema/,1162,4.7,131,4,10,10,15,10,10,55,44,Tier 2
Beacon Hill Barbershops,http://beaconhillbarbershops.com/,"121 Charles St, Boston, MA 02114",(857) 239-9560,https://www.instagram.com/beaconhillbarbershops/,168,4.7,60,5,5,10,15,15,10,55,45,Tier 2
Ideal Barber shop,,"215b Harvard Ave, Allston, MA 02134",(781) 434-8759,https://www.instagram.com/barbershopsaint/,4098,4.8,56,5,10,10,15,15,5,55,46,Tier 2
Nu Image Barbershop,http://nuimagebarbershop.com/,,(617) 354-9898,https://www.instagram.com/reel/C61QxLzOPl-/,0,4.4,159,3,0,20,12,10,10,52,47,Tier 2
The 34 Barber Shop,http://the34barbershop.booksy.com/,"1414-A Beacon St, Brookline, MA 02446",(617) 208-8860,https://www.instagram.com/the34barbershop/,265,4.5,82,5,5,10,12,15,10,52,48,Tier 2
Mr A Barber Shop E Broadway,http://mrabarbershopebroadway.booksy.com/,"601 E Broadway, Boston, MA 02127",(617) 752-4903,https://www.instagram.com/reel/DJrNoU6OWt8/,0,4.9,151,2,0,20,15,5,10,50,49,Tier 2
Belvedere Barbershop,https://belvederebarbershop.com/,"Cambridge, MA",(781) 475-4363,https://www.instagram.com/reel/DRfPxaBlVdj/,0,5.0,101,5,0,10,15,15,10,50,50,Tier 2
Smitty's Barbershop,http://smittysbarbershop1.booksy.com/,"1158 Washington St, Boston, MA 02124",(617) 961-9033,https://www.instagram.com/smittys__barbershop/,689,4.9,117,3,5,10,15,10,10,50,51,Tier 2
Brancato Barber Co - Somerville,http://brancatobarbers.com/,"282a Broadway, Somerville, MA 02145",(978) 488-3780,,0,4.8,201,6,0,20,15,15,0,50,52,Tier 2
JayCutz Barbershop,https://jaycutzzbarber.booksy.com/a/,"990 Tremont St, Boston, MA 02120",(781) 267-5111,https://www.instagram.com/jaycutzz_barbershop/,364,5.0,100,4,5,10,15,10,10,50,53,Tier 2
J & C Barber Shop,,"137 Blue Hill Ave # A, Roxbury, MA 02119",(617) 524-5565,https://www.instagram.com/jcbarbershop3/,313,4.6,96,5,5,10,15,15,5,50,54,Tier 2
Fernandez Beauty & Barber Shop,,"335 Centre St, Jamaica Plain, MA 02130",(617) 412-8905,https://www.instagram.com/explore/locations/9921273/fernandez-beauty-barber-shop/,0,4.5,167,3,0,20,12,10,5,47,55,Tier 3
Fwresh Salon Barber Shop,https://fwreshbarbershop.com/,"252 Bowdoin St, Dorchester, MA 02122",(617) 288-2220,https://www.instagram.com/fwreshinc/,3034,4.5,95,2,10,10,12,5,10,47,56,Tier 3
El Nuevo Estilo Barbershop,http://book.thecut.co/josebarberologi,"967 Dorchester Ave #967, Dorchester, MA 02125",(617) 533-8572,https://www.instagram.com/elnuevoestilobarbershop/,825,4.3,126,4,5,10,12,10,10,47,57,Tier 3
LoGrasso's Barbershop,,"160 Salem St, Boston, MA 02113",(617) 227-2128,https://www.instagram.com/rocco_lograsso/,1047,4.4,87,3,10,10,12,10,5,47,58,Tier 3
Temple of Groom Barbershop Lounge,http://www.templeofgroombarbershop.com/,"464 Commonwealth Ave, Boston, MA 02215",(857) 350-4020,,0,4.9,211,4,0,20,15,10,0,45,59,Tier 3
Shear’s Edge Barbershop,http://shearsedgebarbershop.com/,"160 Federal St, Boston, MA 02110",(617) 377-4985,,0,5.0,221,4,0,20,15,10,0,45,60,Tier 3
Louie styles,https://booksy.com/en-us/388227_louisstyles_barber-shop_22412_boston,"100 Dorchester St, South Boston, MA 02127",(617) 752-4062,https://www.instagram.com/louiestylesbarbershop/,102,5.0,146,2,5,10,15,5,10,45,61,Tier 3
La Rotonda Barbershop,https://www.instagram.com/jpantherbarber/profilecard/?igsh=MTBtemdiOHp3bGFtZw==,"189 Bowdoin St, Boston, MA 02122",(857) 261-6365,https://www.instagram.com/jpantherbarber/,370,4.8,26,3,5,5,15,10,10,45,62,Tier 3
Duvergé Barbershop,https://duvergebarbershop.com/,"12 S Huntington Ave, Jamaica Plain, MA 02130",(617) 433-1030,https://www.instagram.com/duverge_barbershop/,364,5.0,62,2,5,10,15,5,10,45,63,Tier 3
Exclusive Barber Shop,,"250 Brighton Ave, Boston, MA 02134",(617) 987-0214,https://www.instagram.com/250exclusive/,80,4.3,100,4,5,10,12,10,5,42,64,Tier 3
Family Barbershop,,"15 N Beacon St unit # 3, Boston, MA 02134",(617) 987-0057,https://www.instagram.com/torres_family_barbershop/,88,4.6,135,2,5,10,15,5,5,40,65,Tier 3
Firicano's Barbershop,http://www.firicanosbarbershop.com/,"240 North St, Boston, MA 02113",(617) 557-9141,https://www.instagram.com/explore/locations/17602065/firicanos-barbershop-north-end/,0,4.8,132,2,0,10,15,5,10,40,66,Tier 3
D'Friends Barber Shop,,"366 Centre St #1237, Jamaica Plain, MA 02130",(617) 524-3420,https://www.instagram.com/explore/locations/8431992/dfriends-barber-shop/,0,4.7,124,3,0,10,15,10,5,40,67,Tier 3
Gentlemen's Salon,,"79 Commercial St, Boston, MA 02109",(617) 523-0112,https://www.instagram.com/jesenis_hair/,571,4.9,101,2,5,10,15,5,5,40,68,Tier 3
In the Cut Barbershop Nubian Square,https://www.inthecutboston.com/,"2379 Washington St, Roxbury, MA 02119",(617) 302-7515,https://www.instagram.com/inthecutnubian/,733,4.6,16,2,5,5,15,5,10,40,69,Tier 3
Clarendon Barbers,http://clarendonbarbers.com/,"59 Clarendon St, Boston, MA 02116",(617) 292-5100,,0,4.7,94,5,0,10,15,15,0,40,70,Tier 3
Classic Barber Shop,,"379 Washington St, Brighton, MA 02135",(617) 208-7099,https://www.instagram.com/reel/DVMXljkjefD/,0,4.0,119,5,0,10,8,15,5,38,71,Tier 3
VIP Barber Shop,,"160 Harvard Ave, Boston, MA 02134",(857) 245-0498,https://www.instagram.com/explore/locations/11207643/vip-barber-shop/,0,4.4,86,3,0,10,12,10,5,37,72,Tier 3
South Boston Barber Shop,,"149 Dorchester St, Boston, MA 02127",(617) 483-2235,https://www.instagram.com/explore/locations/356974634651414/south-boston-barbershop/,0,4.3,76,4,0,10,12,10,5,37,73,Tier 3
Professional Barber Shop,,"140A South St, Jamaica Plain, MA 02130",(857) 273-4943,,0,4.8,78,4,0,10,15,10,0,35,74,Tier 3
"Euphoria Barbershop — premium fades, beard trims, and men’s haircuts in Cambridge, MA. Trusted since 2013.",http://euphoriabarbers.com/,,(617) 945-1137,,0,4.6,141,3,0,10,15,10,0,35,75,Tier 3
Deep Blue Hair Studio,http://www.deepbluehairstudio.com/,"397 Washington St, Brookline, MA 02445",(617) 608-3705,,0,4.7,141,4,0,10,15,10,0,35,76,Tier 3
Royal Barbers Lounge,https://royalbarberslounge.com/,"483 Somerville Ave, Somerville, MA 02143",(617) 718-0273,,0,5.0,112,4,0,10,15,10,0,35,77,Tier 3
Ottavio's Barber Shop,,"377 W First St, South Boston, MA 02127",(617) 268-8577,https://www.instagram.com/explore/locations/110365496/ottavios-barber-shop/,0,4.8,122,2,0,10,15,5,5,35,78,Tier 3
Lawson's Barber Shop,https://lawsonsbarbershopandsalon.com/,"1979 Columbus Ave, Roxbury, MA 02119",(617) 524-9818,,0,4.8,52,4,0,10,15,10,0,35,79,Tier 3
4U Barber Shop,https://www.4ubarbershop.com/,"114 Blackstone street Haymarket &, 114 Blackstone St, Boston, MA 02109",(617) 682-5253,,0,4.8,113,4,0,10,15,10,0,35,80,Tier 3
Broadway Barbershop,,,,https://www.instagram.com/popular/broadway-barber-shop/,0,4.9,96,2,0,10,15,5,5,35,81,Tier 3
Thony's Barbershop,,"545 Dudley St, Boston, MA 02119",(617) 427-4736,,0,4.8,52,3,0,10,15,10,0,35,82,Tier 3
Brancato Barber Co - Back Bay,https://brancatobarbers.com/,"242 Newbury St, Boston, MA 02116",(617) 777-1182,,0,4.9,92,4,0,10,15,10,0,35,83,Tier 3
Kutz & Glory Barber Studio,https://www.kutznglory.studio/,"24 Denby Rd Suite 218, Boston, MA 02134",,https://www.instagram.com/reel/DRDD564kk-k/,0,5.0,49,2,0,5,15,5,10,35,84,Tier 3
Mike's Barber Shop,,"225 Washington St, Brookline, MA 02445",(617) 566-0876,https://www.instagram.com/pkingtheduck/reel/DUem4dzAoNo/?hl=sk,0,4.2,94,3,0,10,8,10,5,33,85,Tier 3
primos11barbershop,,"1692 Commonwealth Ave, Brighton, MA 02135",(617) 208-5256,,0,4.4,126,4,0,10,12,10,0,32,86,Tier 3
Richard's Barbershop,,"262 Dudley St, Boston, MA 02119",(617) 442-1650,https://www.instagram.com/explore/locations/876245539188074/richards-barbershop-boston/,0,4.5,120,2,0,10,12,5,5,32,87,Tier 3
Justice Cuts,,"1658 Dorchester Ave, Boston, MA 02122",(617) 417-9701,,0,4.8,73,2,0,10,15,5,0,30,88,Tier 3
Junior's iCuts Barbershop/Salon,http://icuts.us/,"482 Centre St, Boston, MA 02130",(617) 477-4961,,0,4.9,77,2,0,10,15,5,0,30,89,Tier 3
CLASSIC 2 BARBERSHOP,http://classic2barbershop.booksy.com/a/,"580 Washington St, Brighton, MA 02135",(617) 208-7141,,0,5.0,2,3,0,5,15,10,0,30,90,Tier 3
Brighton Barbers (inside Hair garden salonask for( Felix appointments only),https://booksy.com/en-us/instant-experiences/widget/172312?instant_experiences_enabled=true&ig_ix=true&is_fb=1,"8 Chestnut Hill Ave, Brighton, MA 02135",(617) 980-8591,,0,4.6,79,2,0,10,15,5,0,30,91,Tier 3
Gentleman BarberShop,https://gentlemansbarbershop.co/,"1216B Commonwealth Ave, Boston, MA 02134",(857) 425-6770,,0,5.0,34,3,0,5,15,10,0,30,92,Tier 3
Avenue Barbershop,,"929 Dorchester Ave, Dorchester, MA 02125",(857) 309-7966,https://www.instagram.com/reel/C_lWGNyuXfQ/,0,4.9,47,1,0,5,15,5,5,30,93,Tier 3
Alton Barbershop,,"3 Alton Pl, Brookline, MA 02446",(617) 277-3001,,0,4.2,80,3,0,10,8,10,0,28,94,Tier 3
Crew Cut Barbershop,,"257 N Harvard St, Allston, MA 02134",(781) 428-1354,,0,4.5,20,3,0,5,12,10,0,27,95,Tier 3
Universal Barber shop,https://phoenicianclippers.com/,"4 Chestnut Hill Ave, Brighton, MA 02135",(817) 966-9525,,0,4.5,98,2,0,10,12,5,0,27,96,Tier 3
Supreme Barbershop Cambridge,http://supremebarbershopcambridge.booksy.com/a,"Cambridge, MA",(857) 249-2607,,0,4.9,29,2,0,5,15,5,0,25,97,Tier 3
Xabiel The Barber,http://xabielthebarber.booksy.com/,"140A South St, Jamaica Plain, MA 02130",(857) 234-8656,,0,5.0,45,2,0,5,15,5,0,25,98,Tier 3
North End Blendz Barbershop,https://www.northendblendz.com/,"129 B Endicott St, Boston, MA 02113",(617) 458-7335,,0,4.9,29,1,0,5,15,5,0,25,99,Tier 3
CENTRE BARBERSHOP JAMAICA PLAIN,https://www.instagram.com/p/CPrKPPJDBFA/?utm_medium=copy_link,"362 Centre St, Jamaica Plain, MA 02130",(617) 390-5296,,0,4.2,33,2,0,5,8,5,0,18,100,Tier 3
